# BANNER FILE NOT PROVIDED (-b option)
# BULK_EXTRACTOR-Version: 2.0.2
# Feature-Recorder: url
# Filename: Evidence\case1.dmp
# Histogram-File-Version: 1.1
n=27	search?gs_ssp=eJzj4tTP1TewzEouK1ZgNGB0YPBir8wvLSlNSgUAUQAG7g&q=youtube
n=24	search?q=youtube+mp3
n=24	search?q=youtube+studio
n=21	search?q=youtube+music
n=19	search?q=%ED%8F%AC%EB%A0%8C%EC%8B%9D+%EC%9C%84%ED%82%A4
n=19	search?q=chrome
n=18	search?q=youtube+vanced
n=17	search?q=chrome+download
n=16	search?q=%ED%81%AC%EB%A1%AC+%EB%B8%8C%EB%9D%BC%EC%9A%B0%EC%A0%80
n=15	search?gs_ssp=eJzj4tLP1TcoqiwoyE1XYDRgdGDwYkvPLMkoTQIAWC4HFA&q=github
n=15	search?q=github+desktop
n=15	search?q=github.io
n=15	search?q=github.io+%EB%A7%8C%EB%93%A4%EA%B8%B0
n=15	search?q=youtube
n=15	search?q=youtube+summary+with+chatgpt
n=11	search?q=chro
n=11	search?q=github.com+%EC%82%AC%EC%9A%A9%EB%B2%95
n=9	search?q=github+%EC%82%AC%EC%9A%A9%EB%B2%95
n=9	search?q=github+action
n=9	search?q=github+copilot
n=9	search?q=github+repository+%EC%82%AD%EC%A0%9C
n=9	search?q=github.sha
n=7	search?q=www.google.com
n=7	search?q=youtube.com
n=6	search?gs_ssp=eJzj4tVP1zc0TEszTksqMTI0YPRiqcwvLQUAQawGLg&q=youu
n=6	search?q=chr
n=6	search?q=christian
n=6	search?q=chrome%2F%2Fflags
n=6	search?q=chromedriver
n=6	search?q=chromium.org
n=6	search?q=git
n=6	search?q=github.io+%EB%B8%94%EB%A1%9C%EA%B7%B8
n=6	search?q=github.io+%EC%82%AC%EC%9A%A9%EB%B2%95
n=6	search?q=gitlab
n=6	search?q=yourgg
n=6	search?q=youtube+api
n=6	search?q=youtube+tv
n=5	search?q=github.com
n=4	search?gs_ssp=eJzj4tVP1zc0zDKptEhLzk4xYPTiTs4oys9NVUjJzMsHAHoXCPQ&q=chrome+dino
n=3	search?gs_ssp=eJzj4tTP1TcwMU02T1JgNGB0YPBiS8_PT89JBQBASQXT&q=google
n=3	search?q=c
n=3	search?q=ch
n=3	search?q=chat+gpt
n=3	search?q=christmas
n=3	search?q=christmas+movies
n=3	search?q=christmas+movies+for+kids
n=3	search?q=christmas+movies+on+netflix
n=3	search?q=chrome+%EC%9B%90%EA%B2%A9+%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%86%B1
n=3	search?q=chrome+flags
n=3	search?q=chrome+heart+glasses
n=3	search?q=chrome+hearts
n=3	search?q=chrome+remote+desktop
n=3	search?q=chrome+web+store
n=3	search?q=costco
n=3	search?q=costco+nampa
n=3	search?q=costco+near+me
n=3	search?q=g
n=3	search?q=gadget
n=3	search?q=ghidra+github
n=3	search?q=gi
n=3	search?q=gif
n=3	search?q=gif+%EB%A7%8C%EB%93%A4%EA%B8%B0
n=3	search?q=gif+%EC%9A%A9%EB%9F%89+%EC%A4%84%EC%9D%B4%EA%B8%B0
n=3	search?q=git+%EC%84%A4%EC%B9%98
n=3	search?q=git+commit+%EC%B7%A8%EC%86%8C
n=3	search?q=gith
n=3	search?q=githu
n=3	search?q=github+token
n=3	search?q=github.
n=3	search?q=github.c
n=3	search?q=github.co
n=3	search?q=google+scholar
n=3	search?q=y
n=3	search?q=yo
n=3	search?q=you
n=3	search?q=yout
n=3	search?q=youtu
n=3	search?q=youtub
n=3	search?q=youtube+theater
n=3	search?q=youtube+tv+login
n=3	search?q=youtube.
n=3	search?q=youtube.c
n=3	search?q=youtube.co
n=2	search?q=chrome+dino
n=2	search?q=github.com+vscode
n=2	search?q=www.google.com%EC%97%90%EC%84%9C+%EC%97%B0%EA%B2%B0%EC%9D%84+%EA%B1%B0%EB%B6%80%ED%96%88%EC%8A%B5%EB%8B%88%EB%8B%A4
n=2	search?q=www.google.com%EC%9D%B4
n=2	search?q=www.google.com+map
n=2	search?q=www.google.com.usa
n=2	search?q=youtube.com%2Factivate
n=2	search?q=youtube.com+activate
n=1	search/result/?q=optimize%20image
n=1	search/result/?q=webp
n=1	search?q=%ED%81%AC%EB%A1%AC+%EB%B8%8C%EB%9D%BC%EC%9A%B0%EC%A0%80&sourceid=chrome&ie=UTF-8https://www.google.com/search?q=%ED%81%AC%EB%A1%AC+%EB%B8%8C%EB%9D%BC%EC%9A%B0%EC%A0%80
n=1	search?q=%ED%8F%AC%EB%A0%8C%EC%8B%9D+%EC%9C%84%ED%82%A4&sourceid=chrome&ie=UTF-8https://www.google.com/search?q=%ED%8F%AC%EB%A0%8C%EC%8B%9D+%EC%9C%84%ED%82%A4
